Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
B,EXP_DBL_0154,3,2.790310,0.193486,453752,15,74,28,69,699,8
B,EXP_DBL_0155,3,2.895350,0.146891,453992,15,74,28,69,699,8
B,EXP_DBL_0156,3,2.818655,0.143123,453752,15,74,28,69,699,8
B,EXP_DBL_0157,3,2.839460,0.135705,453752,15,74,28,69,699,8
B,EXP_DBL_0158,3,2.852111,0.130916,453752,15,74,28,69,699,8
B,EXP_DBL_0159,3,2.865138,0.145421,453752,15,74,28,69,699,8
B,EXP_DBL_0160,3,2.794912,0.934541,453752,15,74,28,69,699,8
B,EXP_DBL_0161,3,2.862041,0.496599,453752,15,74,28,69,699,8
B,EXP_DBL_0162,3,2.916131,0.114633,453752,15,74,28,69,699,8
B,EXP_DBL_0163,3,2.819604,0.179297,454056,15,74,28,69,699,8
B,EXP_DBL_0164,3,2.832228,0.153746,453752,15,74,28,69,699,8
B,EXP_DBL_0165,3,2.661813,0.140811,453832,15,74,28,69,699,8
B,EXP_DBL_0166,3,2.796289,0.145348,453752,15,74,28,69,699,8
B,EXP_DBL_0167,3,2.693133,0.141981,453720,15,74,28,69,699,8
B,EXP_DBL_0168,3,2.728933,0.134421,453720,15,74,28,69,699,8
B,EXP_DBL_0169,3,2.708971,0.113976,453720,15,74,28,69,699,8
B,EXP_DBL_0170,3,2.717468,0.125035,453720,15,74,28,69,699,8
B,EXP_DBL_0171,3,2.716567,0.137823,453720,15,74,28,69,699,8
B,EXP_DBL_0172,3,2.680868,0.129913,453720,15,74,28,69,699,8
B,EXP_DBL_0173,3,2.749115,0.132174,453720,15,74,28,69,699,8
B,EXP_DBL_0174,3,2.722728,0.184329,453720,15,74,28,69,699,8
B,EXP_DBL_0175,3,2.699381,0.102353,453720,15,74,28,69,699,8
B,EXP_DBL_0176,3,2.789548,0.115157,453768,15,74,28,69,699,8
B,EXP_DBL_0177,3,2.487877,0.162264,453320,15,74,28,69,456,8
B,EXP_DBL_0178,3,2.889835,0.129983,453720,15,74,28,69,699,8
B,EXP_DBL_0179,3,2.898929,0.170573,453800,15,74,28,69,699,8
B,EXP_DBL_0180,3,2.778310,0.130603,453944,15,74,28,69,699,8
B,EXP_DBL_0181,3,2.723072,0.136131,453720,15,74,28,69,699,8
B,EXP_DBL_0182,3,2.702216,0.135352,453720,15,74,28,69,699,8
B,EXP_DBL_0183,3,2.927127,0.146205,452984,15,74,28,69,699,8
B,EXP_DBL_0184,3,2.842365,0.190147,453688,15,74,28,69,699,8
B,EXP_DBL_0185,3,2.614416,0.144771,453720,15,74,28,69,699,8
B,EXP_DBL_0186,3,2.684468,0.119033,453720,15,74,28,69,699,8
