Source,Target,Type,Weight,Stability
DestinationPropagation,partial-libcall-inlining,Interaction,-0.1178083550067086,0.5
EarlyOtherwiseBranch,postra-machine-sink,Interaction,-0.117598378618549,0.5
ScalarReplacementOfAggregates,promote-alloca-to-vector,Interaction,-0.1172836553818847,0.5
MatchBranchSimplification,auto-upgrade-debug-info,Interaction,-0.1155642270730799,0.5
MatchBranchSimplification,thinlto-funcattrs,Interaction,-0.1146819443455982,0.5
DestinationPropagation,binop-extract-shuffle,Interaction,-0.1130551558586181,0.5
EarlyOtherwiseBranch,lftr,Interaction,-0.1128812571923441,0.5
DataflowConstProp,block-placement,Interaction,-0.1119775598583663,0.5
MatchBranchSimplification,nofree-inference,Interaction,-0.1093807672584223,0.5
EnumSizeOpt,interleaved-load-combine,Interaction,-0.1089443650036328,0.5
DataflowConstProp,whole-program-visibility,Interaction,-0.1069760624063618,0.5
DeadStoreElimination-initial,layout-fsprofile-loader,Interaction,-0.1061729393283847,0.5
DestinationPropagation,adv-copy-opt,Interaction,-0.1060975877995931,0.5
EnumSizeOpt,block-placement,Interaction,-0.1055488472260601,0.5
EarlyOtherwiseBranch,lsr,Interaction,-0.1039870500447355,0.5
JumpThreading,auto-upgrade-debug-info,Interaction,0.1014216931327007,0.5
DestinationPropagation,layout-fsprofile-loader,Interaction,-0.1010033779768231,0.5
MatchBranchSimplification,preinline,Interaction,-0.1007386430880599,0.5
Inline,promote-alloca-to-vector,Interaction,0.0999912702282239,0.5
DataflowConstProp,strictnode-mutation,Interaction,-0.0978632047464702,0.5
EnumSizeOpt,constant-hoisting,Interaction,-0.0962556159078693,0.5
UnreachableEnumBranching,cgp-gc-opts,Interaction,0.0961908826422131,0.5
ImpossiblePredicates,postra-machine-licm,Interaction,-0.0942616208231652,0.5
DataflowConstProp,peephole,Interaction,-0.0932117452265162,0.5
EarlyOtherwiseBranch,cgp-delete-phis,Interaction,-0.0930609549736791,0.5
UnreachablePropagation,promote-alloca-to-vector,Interaction,0.0921836376482403,0.5
MatchBranchSimplification,cgp-gc-opts,Interaction,0.0908169782543368,0.5
DataflowConstProp,sample-loader-inlining,Interaction,-0.090025929361774,0.5
InstSimplify-before-inline,auto-upgrade-debug-info,Interaction,0.0894842875397348,0.5
DeadStoreElimination-final,ifcvt-simple,Interaction,-0.0859610894476006,0.5
GVN,auto-upgrade-debug-info,Interaction,0.0852901944115429,0.5
DeadStoreElimination-final,cgp-gc-opts,Interaction,0.0851054609067616,0.5
